Experiment,Model,Run,AS_Index,Line,Title,Matched_GT,Decision,Reason,Has_Payoff_Evidence
ODD-only,DeepSeek-R1,run_01.md,1,5,Water Extraction Dilemma with Ecological Thresholds,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_02.md,1,5,Upstream-Downstream Water Rivalry,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_02.md,2,19,Ecological Threshold Tipping Point,None,FP-wrong,generated AS is not one of the two confirmed correct ASs,1
ODD-only,DeepSeek-R1,run_03.md,1,3,Upstream-Downstream Water Extraction Dilemma,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_03.md,2,22,Downstream Fishing Commons Dilemma,AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
ODD-only,DeepSeek-R1,run_04.md,1,5,Upstream-Downstream Water Extraction Dilemma,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_04.md,2,22,Downstream Fishing Competition,AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
ODD-only,DeepSeek-R1,run_05.md,1,3,Upstream-Downstream Water Extraction Dilemma,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_05.md,2,20,Downstream Fishing Priority Dilemma,AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
ODD-only,DeepSeek-R1,run_06.md,1,5,Water Extraction Dilemma (Upstream vs. Downstream),AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_06.md,2,26,Fish Reproduction Threshold Dilemma,AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
ODD-only,DeepSeek-R1,run_07.md,1,9,Upstream-Downstream Water Competition Dilemma,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_07.md,2,29,Downstream Fishing-Priority Rivalry,AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
ODD-only,DeepSeek-R1,run_08.md,1,5,Water Extraction Dilemma Between Upstream and Downstream Farmers,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_08.md,2,59,Downstream Fishing Access Competition,AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
ODD-only,DeepSeek-R1,run_09.md,1,5,Water Extraction Dilemma (Upstream vs. Downstream),AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_09.md,2,27,Fishing Access Dilemma (Downstream vs. Upstream),AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
ODD-only,DeepSeek-R1,run_10.md,1,5,Water Extraction Dilemma,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_10.md,2,38,Fishing Priority Dilemma,AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
ODD-only,DeepSeek-R1,run_11.md,1,5,Water Extraction Dilemma in Critical Conditions,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_11.md,2,30,Sequential Fishing Access Under Stock Depletion,AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
ODD-only,DeepSeek-R1,run_12.md,1,5,Water Allocation Dilemma between Upstream and Downstream Farmers,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_13.md,1,5,Upstream-Downstream Water Allocation Dilemma,AS1: Upstream and downstream withdrawal decisions,TP,generated AS matches AS1: Upstream and downstream withdrawal decisions,1
ODD-only,DeepSeek-R1,run_13.md,2,25,Fishing Access and Resource Depletion Dilemma,AS2: Fish extraction common pool resource game,TP,generated AS matches AS2: Fish extraction common pool resource game,1
